A01,7.55,10.5,80.45,-4.68,Abuja,1,AMBER,,,,
A02,2.93,36.85,77.88,27.49,Algeria,1,AMBER,,,,
A03,11.52,3.87,84.18,-11.1,Cameroon,1,AMBER,,,,
A04,39.46,14.28,112.06,5.78,Ethiopia,1,AMBER,,,,
A05,17.58,-19.2,88,-30.49,Namibia,1,AMBER,,,,
A06,355.87,5.33,69.02,-8.23,Abidjan,1,AMBER,,,,
A07,346.34,9.58,60.64,-3.02,Conakry,1,AMBER,,,,
A08,126,7.5,-161.63,-0.34,Davao,1,AMBER,,,,
A09,120,14.58,-167.46,7.13,Manila,1,AMBER,,,,
A10,319.5,-9.4,31.08,-10,Petrolina,1,AMBER,,,,
A11,311.55,-1.45,26.47,0.44,Belem,1,AMBER,,,,
A12,100.61,14.08,173.36,6.47,Bangkok,1,AMBER,,,,
A13,98.35,7.89,171.06,-0.32,Phuket,1,AMBER,,,,
AAA,76.92,43.25,150.22,38.83,Alma Ata,1,INTERMAGNET,,,,
AAE,38.77,9.03,111.51,-0.06,Addis Ababa,1,INTERMAGNET,,,,
ABG,72.87,18.62,146.22,11.99,Alibag,2,GFZ,INTERMAGNET,,,
ABK,18.82,68.35,101.7,65.74,Abisko,2,IMAGE,INTERMAGNET,,,
ADL,138.65,-34.67,-145.09,-45.42,Adelaide,1,210MM,,,,
AIA,295.74,-65.25,9.72,-50.99,Faraday Islands,1,INTERMAGNET,,,,
ALE,297.5,82.5,86.95,87.14,Alert,2,CANMOS,INTERMAGNET,,,
ALT,22.96,69.86,106.08,67.08,Alta,1,IMAGE,,,,
AMD,61.4,69.5,138.2,65.85,Amderma,3,RAPIDMAG,GIMA,AARI,,
AMK,322.37,65.6,53.57,68.99,Tasiilaq,1,DTUSpace,,,,
AMS,77.57,-37.8,140.23,-48.87,Martin de Vivias,1,INTERMAGNET,,,,
AMU,210.1,61.2,-93.39,61.27,Anchorage,1,THEMIS,,,,
AND,16.03,69.3,100.22,66.86,Andenes,2,TROMSOE,IMAGE,,,
ANT,289.76,-23.39,1.35,-9.83,Antofagasta,1,SAMBA,,,,
API,188.22,-13.8,-96.46,-15.5,Apia,1,INTERMAGNET,,,,
APL,283.12,39.17,0.12,48.95,Applied Physics Lab,1,MEASURE,,,,
AQU,13.32,42.38,87.68,35.74,LAquila,3,SEGMA,INTERMAGNET,EMMA,,
ARC,214.43,68.13,-94.37,69.18,Arctic Village,1,GIMA,,,,
ARK,40.5,64.6,117.67,61.29,Arkhangelsk,1,AARI,,,,
ARS,58.57,56.43,132.43,52.9,Arti,1,INTERMAGNET,,,,
ASA,170.7,-14.28,-113.81,-19.02,American Samoa,1,210MM,,,,
ASC,345.62,-7.95,56.97,-16.34,Ascension Island,2,BGS,INTERMAGNET,,,
ASH,58.1,37.95,131.16,33.36,Ashkabad,1,Unknown,,,,
ASP,133.88,-23.77,-151.93,-33.67,Alice Springs,1,INTERMAGNET,,,,
ATU,306.43,67.93,38.19,73.99,Attu,1,DTUSpace,,,,
B01,296.52,-64.82,10.05,-50.62,m65-297,1,BAS,,,,
B02,294,-66.03,8.97,-51.69,m66-294,1,BAS,,,,
B03,291.88,-67.57,8.27,-53.14,m67-292,1,BAS,,,,
B04,41.08,-68.58,74.03,-66.63,m68-041,1,BAS,,,,
B05,41.32,-69.29,73.07,-67.09,m69-041,1,BAS,,,,
B06,39.4,-69.67,71.31,-66.95,m70-039,1,BAS,,,,
B07,44.28,-70.7,72.51,-68.45,m70-044,1,BAS,,,,
B08,159.03,-72.77,-65.2,-80.61,m73-159,1,BAS,,,,
B09,42.99,-74.01,65.58,-69.97,m74-043,1,BAS,,,,
B10,39.71,-77.32,57.15,-71.02,m77-040,1,BAS,,,,
B11,336.58,-77.51,30.69,-63.96,m78-337,1,BAS,,,,
B12,335.88,-79.08,29.67,-65.15,m79-336,1,BAS,,,,
B13,77,-80,56.17,-77.91,m80-077,1,BAS,,,,
B14,337.74,-80.89,29.35,-66.7,m81-338,1,BAS,,,,
B15,2.97,-81.49,37.07,-68.93,m82-003,1,BAS,,,,
B16,347.06,-82.78,30.73,-68.71,m83-347,1,BAS,,,,
B17,347.76,-82.9,30.79,-68.84,m83-348,1,BAS,,,,
B18,336.14,-84.35,26.33,-69.45,m84-336,1,BAS,,,,
B19,2.06,-85.36,30.41,-71.39,m85-002,1,BAS,,,,
B20,95.98,-85.36,30.38,-77.78,m85-096,1,BAS,,,,
B21,28.41,-87,29.34,-73.53,m87-028,1,BAS,,,,
B22,68.17,-86.51,31,-75.62,m87-069,1,BAS,,,,
B23,316.13,-88.03,20.41,-72.34,m88-316,1,BAS,,,,
B24,77.77,-71.67,90.77,-76.46,m72-078,1,BAS,,,GFZ,
B27,3,-81,37.78,-68.61,m81-003,1,BAS,,,,
BBG,14.23,78.07,109.7,75.62,Barentsburg,1,AARI,,,,
BDV,14.02,49.07,89.64,44.35,Budkov,1,INTERMAGNET,,,,
BEL,20.8,51.83,96.27,47.71,Belsk,2,INTERMAGNET,EMMA,,,
BET,208.32,66.9,-98.51,66.88,Bettles,1,GIMA,,,,
BFE,11.67,55.62,89.56,52.27,Brorfelde,3,DTUSpace,INTERMAGNET,TROMSOE,,
BFO,8.33,48.33,84.57,43.41,Black Forest,1,INTERMAGNET,,,,
BGY,35.09,31.72,107.42,24.99,Bar Gyora,1,INTERMAGNET,,,,
BIK,136.05,-1.08,-151.37,-9.35,Biak,1,210MM,,,,
BJI,116.18,40.06,-170.05,34.43,Beijing,1,210MM,,,,
BJN,19.2,74.5,107.71,71.89,Bear Island,2,TROMSOE,IMAGE,,,
BLC,263.97,64.33,-30.09,73.61,Baker Lake,2,CANMOS,INTERMAGNET,,,
BMT,116.2,40.3,-170.01,34.69,Beijing Ming Tombs,1,INTERMAGNET,,,,
BNG,18.57,4.33,91.18,-9.54,Bangui,1,INTERMAGNET,,,,
BOR,38.33,58.03,113.62,54.54,Borok,1,SAMNET,,,,
BOU,254.77,40.13,-38.68,48.51,Boulder,2,INTERMAGNET,USGS,,,
BOX,38.97,58.03,114.2,54.54,Barok,2,210MM,INTERMAGNET,,,
BRD,260.03,49.87,-33.04,59.2,Brandon,1,CANMOS,,,,
BRW,203.25,71.3,-106.57,70.6,Barrow,3,GIMA,USGS,INTERMAGNET,,
BRZ,24.75,56.21,100.97,52.66,Birzai,1,EMMA,,,,
BSL,270.37,30.35,-17.88,40.69,Bay St Louis,2,INTERMAGNET,USGS,,,
BSV,139.21,-25.54,-145.83,-35.31,Birdsville,1,210MM,,,,
C01,276.1,42.42,-9.58,52.65,Ann Arbor,1,CARISMA,,,,
C02,265.79,57.71,-25.6,67.48,Back Lake,1,CARISMA,,,,
C03,248.89,58.77,-50.65,66.39,Fort Chipewyan,1,CARISMA,,,,
C04,251.74,50.06,-44.33,58.14,Gull Lake,1,CARISMA,,,,
C05,264.54,52.03,-26.78,61.84,Little Grand Rapids,1,CARISMA,,,,
C06,247.03,53.35,-51.24,60.64,Ministik Lake,1,CARISMA,,,,
C07,233.31,65.26,-73.47,69.85,Norman Wells,1,CARISMA,,,,
C08,264.92,45.87,-25.69,55.72,Osakis,1,CARISMA,,,,
C09,264.71,54.93,-26.87,64.7,Oxford House,1,CARISMA,,,,
C10,245.79,47.66,-51.2,54.6,Polson,1,CARISMA,,,,
C11,263.64,48.03,-27.69,57.76,Thief River Falls,1,CARISMA,,,,
C12,256.2,49.69,-38.32,58.49,Weyburn,1,CARISMA,,,,
C13,239.97,51.88,-59.3,57.77,Wells Gray,1,CARISMA,,,,
CAN,149,-35.3,-132.77,-45.05,Canberra,1,210MM,,,,
